time,id,mA,V,W
7.106,B,181.520,4.080,0.741
7.127,B,176.720,4.090,0.723
7.147,B,183.920,4.090,0.752
7.167,B,176.720,4.090,0.723
7.185,B,177.200,4.090,0.725
7.206,B,176.800,4.090,0.723
7.225,B,177.120,4.090,0.724
7.246,B,184.600,4.090,0.755
7.265,B,177.520,4.090,0.726
7.286,B,177.600,4.090,0.726
7.304,B,177.200,4.090,0.725
7.323,B,177.320,4.090,0.725
7.344,B,187.120,4.070,0.762
7.363,B,177.000,4.090,0.724
7.384,B,181.400,4.080,0.740
7.402,B,176.800,4.090,0.723
7.422,B,176.720,4.080,0.721
7.442,B,177.120,4.080,0.723
7.463,B,182.720,4.080,0.745
7.482,B,176.520,4.090,0.722
7.501,B,176.920,4.080,0.722
7.520,B,176.520,4.080,0.720
7.541,B,176.400,4.080,0.720
7.561,B,183.920,4.090,0.752
7.580,B,176.320,4.080,0.719
7.599,B,176.920,4.080,0.722
7.619,B,181.120,4.080,0.739
7.639,B,181.920,4.080,0.742
7.659,B,198.600,4.080,0.810
7.679,B,185.520,4.080,0.757
7.697,B,185.920,4.090,0.760
7.718,B,185.600,4.090,0.759
7.737,B,181.520,4.090,0.742
7.758,B,183.400,4.080,0.748
7.777,B,176.800,4.090,0.723
7.795,B,176.800,4.080,0.721
7.816,B,176.920,4.080,0.722
7.835,B,176.720,4.090,0.723
7.856,B,188.320,4.090,0.770
7.875,B,181.600,4.090,0.743
7.896,B,176.600,4.090,0.722
7.914,B,177.000,4.080,0.722
7.934,B,176.600,4.090,0.722
7.954,B,177.120,4.090,0.724
7.975,B,178.720,4.090,0.731
7.994,B,176.920,4.090,0.724
8.013,B,177.800,4.090,0.727
8.032,B,177.400,4.090,0.726
8.052,B,240.720,4.070,0.980
8.073,B,189.400,4.090,0.775
8.092,B,182.800,4.080,0.746
8.111,B,187.520,4.080,0.765
8.130,B,187.000,4.080,0.763
8.151,B,182.600,4.080,0.745
8.171,B,182.520,4.080,0.745
8.191,B,182.520,4.080,0.745
8.209,B,182.400,4.080,0.744
8.230,B,182.600,4.080,0.745
8.249,B,182.320,4.080,0.744
8.270,B,182.720,4.080,0.745
8.289,B,182.600,4.080,0.745
8.307,B,182.200,4.080,0.743
8.328,B,182.720,4.080,0.745
8.347,B,182.200,4.080,0.743
8.368,B,187.200,4.080,0.764
8.387,B,182.720,4.080,0.745
8.408,B,182.320,4.080,0.744
8.426,B,182.720,4.080,0.745
8.446,B,182.400,4.080,0.744
8.466,B,182.720,4.080,0.745
8.486,B,189.320,4.090,0.774
8.506,B,182.520,4.080,0.745
8.524,B,182.600,4.080,0.745
8.544,B,182.600,4.080,0.745
8.564,B,182.600,4.080,0.745
8.585,B,184.800,4.070,0.752
8.604,B,204.120,4.080,0.833
8.623,B,182.400,4.090,0.746
8.642,B,187.200,4.080,0.764
8.663,B,190.720,4.080,0.778
8.683,B,193.120,4.070,0.786
8.703,B,186.320,4.090,0.762
8.721,B,185.920,4.090,0.760
8.740,B,177.200,4.090,0.725
8.761,B,176.800,4.090,0.723
8.781,B,177.600,4.090,0.726
8.801,B,184.320,4.090,0.754
8.819,B,177.200,4.090,0.725
8.840,B,177.400,4.090,0.726
8.859,B,181.920,4.090,0.744
8.880,B,181.720,4.090,0.743
8.899,B,183.400,4.090,0.750
8.918,B,176.600,4.090,0.722
8.938,B,176.520,4.090,0.722
8.958,B,176.600,4.090,0.722
8.978,B,176.520,4.080,0.720
8.998,B,184.120,4.080,0.751
9.018,B,197.000,4.080,0.804
9.036,B,184.520,4.080,0.753
9.056,B,180.400,4.080,0.736
9.076,B,179.920,4.080,0.734
9.097,B,251.720,4.070,1.025
9.116,B,297.520,4.060,1.208
9.135,B,311.120,4.060,1.263
9.154,B,344.000,4.060,1.397
9.175,B,317.720,4.080,1.296
9.195,B,299.400,4.070,1.219
9.215,B,320.720,4.060,1.302
9.233,B,468.000,4.050,1.895
9.253,B,471.920,4.050,1.911
9.273,B,472.320,4.040,1.908
9.293,B,476.720,4.040,1.926
9.313,B,382.120,4.070,1.555
9.331,B,358.320,4.070,1.458
9.352,B,471.320,4.030,1.899
9.371,B,497.200,4.040,2.009
9.392,B,549.600,4.060,2.231
9.411,B,496.120,4.070,2.019
9.432,B,401.520,4.060,1.630
