machine,utime,sURI,path,file,date,ffversion,endTime,kwatthours,kwh,max,mean,min,seconds,startTime,std,sum,type,var
"reptile",1328895745,"vuze-26744.jar","/home/abez/green-results/reptile-1328895745-vuze-26744.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328896384,0.0023,0.00397322800925924,24.6,23.8791666666666,21.5,599,1328895785,0.309810601342759,13754.3999999999,wattageSummary,0.0959826087043621
"reptile",1328896403,"vuze-26731.jar","/home/abez/green-results/reptile-1328896403-vuze-26731.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328897042,0.0029,0.00396187175043329,24.9,23.7712305025998,21.7,600,1328896442,0.370956033869452,13716.0000000001,wattageSummary,0.137608379064154
"reptile",1328897063,"vuze-26750.jar","/home/abez/green-results/reptile-1328897063-vuze-26750.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328897705,0.0039,0.00397847222222222,24.6,23.9106844741235,21.7,599,1328897106,0.28948004179089,14322.5,wattageSummary,0.0837986945952554
"reptile",1328897726,"vuze-26738.jar","/home/abez/green-results/reptile-1328897726-vuze-26738.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328898372,0.0032,0.00395345329181498,24.8,23.7603202846977,21.7,599,1328897773,0.320441824954837,13353.3000000001,wattageSummary,0.102682963180386
"reptile",1328898393,"vuze-26801.jar","/home/abez/green-results/reptile-1328898393-vuze-26801.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328899034,0.0039,0.00394909865740742,24.4,23.6551666666667,21.6,601,1328898433,0.288175375941361,14193.1,wattageSummary,0.0830450472989444
"reptile",1328899053,"vuze-26794.jar","/home/abez/green-results/reptile-1328899053-vuze-26794.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328899230,0.0009,0.000915125805152979,24.7,24.0471014492754,21.8,137,1328899093,0.530279093157887,3318.5,wattageSummary,0.281195916640351
"reptile",1328899712,"vuze-26767.jar","/home/abez/green-results/reptile-1328899712-vuze-26767.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328900351,0.0034,0.00395980725623585,24.4,23.7588435374151,21.5,600,1328899751,0.272611240764179,13970.2000000001,wattageSummary,0.0743168885909851
"reptile",1328900372,"vuze-26734.jar","/home/abez/green-results/reptile-1328900372-vuze-26734.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328901027,0.0039,0.00398169444444446,24.9,23.9300500834726,21.9,599,1328900428,0.371607505240204,14334.1000000001,wattageSummary,0.138092137950848
"reptile",1328901050,"vuze-26763.jar","/home/abez/green-results/reptile-1328901050-vuze-26763.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328901689,0.0039,0.00393863888888891,24.4,23.5925124792014,21.5,601,1328901088,0.279750800278594,14179.1000000001,wattageSummary,0.078260510256514
"reptile",1328901708,"vuze-26755.jar","/home/abez/green-results/reptile-1328901708-vuze-26755.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328902349,0.0039,0.00397902388888889,24.7,23.914,21.9,599,1328901750,0.312249632595929,14348.4,wattageSummary,0.0974998330562927
"reptile",1328902368,"vuze-26798.jar","/home/abez/green-results/reptile-1328902368-vuze-26798.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328903019,0.0037,0.00391843429951693,24.4,23.7081739130436,21.4,595,1328902424,0.270216014393822,13632.2000000001,wattageSummary,0.073016694434882
"reptile",1328903043,"vuze-26762.jar","/home/abez/green-results/reptile-1328903043-vuze-26762.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328903693,0.0028,0.00397130764740224,24.7,23.8278458844134,21.8,600,1328903093,0.322346796017998,13605.7000000001,wattageSummary,0.103907456903069
"reptile",1328903713,"vuze-26793.jar","/home/abez/green-results/reptile-1328903713-vuze-26793.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328904355,0.0039,0.00396089850249585,24.4,23.7653910149751,21.5,600,1328903755,0.267332917012446,14283,wattageSummary,0.0714668885183831
"reptile",1328904373,"vuze-26792.jar","/home/abez/green-results/reptile-1328904373-vuze-26792.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328905012,0.0039,0.00396912375000003,24.7,23.8545000000002,21.9,599,1328904413,0.296805051716808,14312.7000000001,wattageSummary,0.0880932387246172
